Date,Open,High,Low,Close,Adj Close,Volume
1980-01-09,6.828125,6.890625,6.750000,6.765625,1.480861,2942400
1980-01-10,6.765625,6.796875,6.718750,6.750000,1.477442,2179200
1980-01-11,6.750000,6.750000,6.703125,6.703125,1.467182,828800
1980-01-14,6.703125,6.750000,6.703125,6.703125,1.467182,1560800
1980-01-15,6.703125,6.750000,6.687500,6.750000,1.477442,899200
1980-01-16,6.750000,7.000000,6.750000,6.781250,1.484282,2994400
1980-01-17,6.781250,6.875000,6.750000,6.796875,1.487701,1909600
1980-01-18,6.812500,7.125000,6.812500,7.125000,1.559522,2181600
1980-01-21,7.187500,7.437500,7.187500,7.421875,1.624503,2758400
1980-01-22,7.421875,7.468750,7.390625,7.390625,1.617662,1402400
1980-01-23,7.390625,7.593750,7.390625,7.531250,1.648443,1192800
1980-01-24,7.625000,7.734375,7.625000,7.640625,1.672384,1468800
1980-01-25,7.625000,7.625000,7.515625,7.625000,1.668962,1364000
1980-01-28,7.625000,7.796875,7.531250,7.750000,1.696323,1159200
1980-01-29,7.750000,7.828125,7.578125,7.640625,1.672384,2205600
1980-01-30,7.640625,7.750000,7.609375,7.734375,1.692902,997600
1980-01-31,7.750000,7.937500,7.750000,7.781250,1.703163,1500000
1980-02-01,7.781250,8.000000,7.703125,8.000000,1.751042,1424800
1980-02-04,8.000000,8.093750,7.937500,7.937500,1.737364,1905600
1980-02-05,7.937500,7.968750,7.875000,7.968750,1.744202,1188800
1980-02-06,7.968750,8.562500,7.953125,8.562500,1.874163,3314400
1980-02-07,8.937500,9.343750,8.937500,9.093750,1.990443,6178400
1980-02-08,9.093750,9.437500,9.062500,9.421875,2.062263,4455200
1980-02-11,9.406250,9.406250,9.093750,9.093750,1.990443,3916000
1980-02-12,9.093750,9.156250,8.812500,9.125000,1.997282,2294400
1980-02-13,9.125000,9.250000,8.921875,8.937500,1.956243,2192800
1980-02-14,8.937500,9.109375,8.718750,8.843750,1.935722,1524800
1980-02-15,8.812500,8.812500,8.625000,8.812500,1.928883,1934400
1980-02-19,8.781250,8.781250,8.625000,8.703125,1.904943,1345600
1980-02-20,8.750000,9.312500,8.750000,9.281250,2.031482,2980800
1980-02-21,9.281250,9.625000,9.125000,9.156250,2.004123,3367200
1980-02-22,9.156250,9.875000,9.062500,9.671875,2.116982,5061600
1980-02-25,9.656250,9.656250,9.437500,9.578125,2.096463,2221600
1980-02-26,9.578125,10.062500,9.500000,10.062500,2.202483,3500800
1980-02-27,10.062500,10.406250,9.875000,9.875000,2.161443,4957600
1980-02-28,9.875000,10.093750,9.875000,9.953125,2.178542,2096000
1980-02-29,9.953125,10.062500,9.890625,9.937500,2.175122,1176800
1980-03-03,9.921875,9.921875,9.796875,9.796875,2.144344,1950400
1980-03-04,9.796875,10.250000,9.718750,10.171875,2.226422,2537600
1980-03-05,10.171875,10.625000,10.125000,10.125000,2.216163,2306400
1980-03-06,10.109375,10.109375,9.718750,9.781250,2.140922,2226400
1980-03-07,9.718750,9.718750,9.468750,9.531250,2.086202,2312800
1980-03-10,9.531250,9.656250,9.375000,9.468750,2.072524,1666400
1980-03-11,9.562500,9.750000,9.562500,9.671875,2.116982,1999200
1980-03-12,9.671875,9.671875,9.390625,9.671875,2.116982,1184000
1980-03-13,9.671875,9.718750,9.281250,9.312500,2.038323,1729600
1980-03-14,9.312500,9.343750,9.125000,9.187500,2.010962,1019200
1980-03-17,9.093750,9.093750,8.750000,8.859375,1.939142,1131200
1980-03-18,8.859375,9.125000,8.656250,9.093750,1.990443,1938400
1980-03-19,9.093750,9.234375,9.031250,9.062500,1.983603,1363200
1980-03-20,9.062500,9.125000,8.843750,8.859375,1.939142,1300800
1980-03-21,8.828125,8.828125,8.656250,8.703125,1.904943,1706400
1980-03-24,8.625000,8.625000,8.265625,8.296875,1.816022,1430400
1980-03-25,8.296875,8.500000,8.281250,8.468750,1.853643,2153600
1980-03-26,8.468750,8.656250,8.343750,8.359375,1.829702,1106400
1980-03-27,8.218750,8.218750,7.656250,8.031250,1.757882,2516000
1980-03-28,8.031250,8.218750,8.031250,8.140625,1.781822,1703200
1980-03-31,8.140625,8.234375,8.000000,8.187500,1.792082,1265600
1980-04-01,8.187500,8.281250,8.093750,8.125000,1.778403,756800
1980-04-02,8.171875,8.406250,8.171875,8.343750,1.826283,940000
1980-04-03,8.343750,8.343750,8.156250,8.187500,1.792082,524000
1980-04-07,8.140625,8.140625,7.781250,7.796875,1.706582,707200
1980-04-08,7.796875,7.984375,7.750000,7.937500,1.737364,987200
1980-04-09,7.953125,8.437500,7.953125,8.375000,1.833123,1452000
1980-04-10,8.375000,8.500000,8.312500,8.500000,1.860484,1310400
1980-04-11,8.500000,8.546875,8.468750,8.515625,1.863903,884000
1980-04-14,8.515625,8.562500,8.421875,8.562500,1.874163,812000
1980-04-15,8.562500,8.703125,8.531250,8.609375,1.884423,632000
1980-04-16,8.609375,8.750000,8.343750,8.343750,1.826283,1392000
1980-04-17,8.343750,8.437500,8.265625,8.343750,1.826283,481600
1980-04-18,8.343750,8.375000,8.203125,8.203125,1.795503,909600
1980-04-21,8.203125,8.281250,8.078125,8.171875,1.788662,671200
1980-04-22,8.437500,8.734375,8.437500,8.687500,1.901521,1467200
1980-04-23,8.687500,8.796875,8.593750,8.625000,1.887843,1158400
1980-04-24,8.625000,8.625000,8.453125,8.453125,1.850221,1533600
1980-04-25,8.453125,8.593750,8.421875,8.593750,1.881002,808000
1980-04-28,8.593750,8.796875,8.593750,8.656250,1.894683,1504000
1980-04-29,8.656250,8.703125,8.593750,8.687500,1.901521,544800
1980-04-30,8.687500,8.843750,8.625000,8.843750,1.935722,616800
1980-05-01,8.828125,8.828125,8.625000,8.718750,1.908364,1099200
1980-05-02,8.718750,8.750000,8.656250,8.703125,1.904943,1363200
1980-05-05,8.671875,8.671875,8.468750,8.515625,1.863903,938400
1980-05-06,8.515625,8.750000,8.421875,8.468750,1.853643,1316800
1980-05-07,8.468750,8.718750,8.468750,8.625000,1.887843,1283200
1980-05-08,8.625000,8.625000,8.437500,8.453125,1.850221,1947200
1980-05-09,8.453125,8.453125,8.156250,8.265625,1.809182,1476000
1980-05-12,8.218750,8.218750,8.125000,8.203125,1.795503,1468800
1980-05-13,8.203125,8.312500,8.062500,8.281250,1.812602,1766400
1980-05-14,8.281250,8.343750,8.218750,8.250000,1.805763,1878400
1980-05-15,8.250000,8.312500,8.187500,8.250000,1.805763,896800
1980-05-16,8.250000,8.468750,8.234375,8.437500,1.846802,716000
1980-05-19,8.437500,8.656250,8.390625,8.546875,1.870742,556800
1980-05-20,8.546875,8.625000,8.531250,8.609375,1.884423,894400
1980-05-21,8.609375,8.687500,8.500000,8.625000,1.887843,496800
