Date,Open,High,Low,Close,Adj Close,Volume
1980-01-09,8.754006,8.894231,8.653846,8.653846,2.558789,3125616
1980-01-10,8.653846,8.754006,8.573718,8.693910,2.570637,1488240
1980-01-11,8.693910,8.713942,8.593750,8.673878,2.564713,624000
1980-01-14,8.673878,8.733974,8.633814,8.673878,2.564713,2034240
1980-01-15,8.673878,8.673878,8.433494,8.473558,2.505482,829920
1980-01-16,8.513622,8.633814,8.513622,8.573718,2.535097,2041728
1980-01-17,8.573718,8.593750,8.533654,8.573718,2.535097,521664
1980-01-18,8.573718,8.593750,8.473558,8.573718,2.535097,1064544
1980-01-21,8.573718,8.814103,8.513622,8.754006,2.588404,1463904
1980-01-22,8.754006,8.794071,8.593750,8.593750,2.541021,758784
1980-01-23,8.593750,8.774038,8.533654,8.774038,2.594328,948480
1980-01-24,8.774038,8.874199,8.754006,8.754006,2.588404,1727856
1980-01-25,8.754006,8.794071,8.733974,8.794071,2.600251,1225536
1980-01-28,8.794071,8.894231,8.754006,8.874199,2.623945,820560
1980-01-29,8.874199,8.894231,8.673878,8.713942,2.576560,1040208
1980-01-30,8.713942,9.014423,8.713942,9.014423,2.665407,1096368
1980-01-31,9.014423,9.214744,8.774038,8.814103,2.606174,1573104
1980-02-01,8.814103,9.014423,8.754006,8.954327,2.647637,1069536
1980-02-04,8.954327,9.034455,8.794071,8.814103,2.606174,1243008
1980-02-05,8.814103,8.934295,8.814103,8.934295,2.641714,537264
1980-02-06,8.934295,9.014423,8.774038,9.014423,2.665407,873600
1980-02-07,9.014423,9.014423,8.834135,8.854167,2.618021,1064544
1980-02-08,8.854167,8.894231,8.774038,8.774038,2.594328,1988688
1980-02-11,8.774038,8.854167,8.613782,8.673878,2.564713,1797120
1980-02-12,8.673878,8.713942,8.613782,8.713942,2.576560,748800
1980-02-13,8.774038,8.874199,8.774038,8.794071,2.600251,1935648
1980-02-14,8.774038,8.774038,8.593750,8.653846,2.558789,962832
1980-02-15,8.573718,8.573718,8.253205,8.433494,2.493635,1504464
1980-02-19,8.393429,8.393429,8.273237,8.313301,2.458095,941616
1980-02-20,8.313301,8.413462,8.313301,8.373397,2.475865,1158144
1980-02-21,8.373397,8.393429,8.173077,8.213141,2.428481,1290432
1980-02-22,8.213141,8.213141,8.112981,8.112981,2.398866,1191840
1980-02-25,8.092949,8.092949,7.952724,7.992788,2.363325,1119456
1980-02-26,7.992788,8.112981,7.992788,8.112981,2.398866,846144
1980-02-27,8.112981,8.173077,7.972756,7.992788,2.363325,1077024
1980-02-28,7.992788,8.012821,7.832532,7.972756,2.357404,914160
1980-02-29,7.972756,8.072917,7.872596,8.052885,2.415077,1093872
1980-03-03,8.052885,8.133013,7.992788,7.992788,2.397053,853008
1980-03-04,7.992788,7.992788,7.912660,7.972756,2.391046,826800
1980-03-05,7.972756,7.992788,7.812500,7.852564,2.355000,1288560
1980-03-06,7.832532,7.832532,7.712340,7.752404,2.324963,1266720
1980-03-07,7.752404,7.852564,7.732372,7.792468,2.336978,1172496
1980-03-10,7.792468,7.872596,7.732372,7.812500,2.342986,1383408
1980-03-11,7.812500,7.912660,7.752404,7.852564,2.355000,831792
1980-03-12,7.832532,7.832532,7.712340,7.812500,2.342986,771264
1980-03-13,7.752404,7.752404,7.652244,7.692308,2.306939,1114464
1980-03-14,7.692308,7.732372,7.652244,7.672276,2.300932,1440192
1980-03-17,7.652244,7.652244,7.491987,7.491987,2.246863,932880
1980-03-18,7.491987,7.592147,7.471955,7.592147,2.276901,1413360
1980-03-19,7.572115,7.572115,7.451923,7.451923,2.234849,1579968
1980-03-20,7.451923,7.491987,7.331731,7.331731,2.198802,1355328
1980-03-21,7.331731,7.411859,7.311699,7.411859,2.222833,1125696
1980-03-24,7.411859,7.411859,7.251603,7.271635,2.180779,1587456
1980-03-25,7.271635,7.331731,7.211538,7.271635,2.180779,2254512
1980-03-26,7.271635,7.371795,7.271635,7.291667,2.186785,826800
1980-03-27,7.291667,7.291667,7.051282,7.251603,2.174772,1273584
1980-03-28,7.351763,7.652244,7.351763,7.652244,2.294925,685152
1980-03-31,7.652244,7.732372,7.592147,7.712340,2.312947,878592
1980-04-01,7.712340,7.812500,7.512019,7.572115,2.270893,901056
1980-04-02,7.572115,7.672276,7.552083,7.612179,2.282909,660816
1980-04-03,7.632212,7.752404,7.632212,7.752404,2.324963,537888
1980-04-07,7.712340,7.712340,7.431891,7.451923,2.234849,1583088
1980-04-08,7.451923,7.532051,7.331731,7.491987,2.246863,962832
1980-04-09,7.491987,7.552083,7.451923,7.532051,2.258878,879840
1980-04-10,7.532051,7.632212,7.532051,7.632212,2.288917,480480
1980-04-11,7.632212,7.672276,7.592147,7.612179,2.282909,941616
1980-04-14,7.612179,7.672276,7.572115,7.632212,2.288917,477360
1980-04-15,7.632212,7.652244,7.612179,7.632212,2.288917,645840
1980-04-16,7.632212,7.672276,7.411859,7.431891,2.228840,1244880
1980-04-17,7.431891,7.451923,7.331731,7.331731,2.198802,643968
1980-04-18,7.331731,7.411859,7.171474,7.171474,2.150738,708240
1980-04-21,7.171474,7.231571,7.131410,7.171474,2.150738,843024
1980-04-22,7.211538,7.371795,7.211538,7.331731,2.198802,1541904
1980-04-23,7.371795,7.491987,7.371795,7.411859,2.222833,770640
1980-04-24,7.411859,7.552083,7.391827,7.471955,2.240855,560976
1980-04-25,7.471955,7.532051,7.411859,7.532051,2.258878,496080
1980-04-28,7.572115,7.632212,7.572115,7.572115,2.270893,825552
1980-04-29,7.572115,7.632212,7.572115,7.592147,2.276901,481728
1980-04-30,7.592147,7.612179,7.512019,7.612179,2.282909,544752
1980-05-01,7.612179,7.632212,7.411859,7.411859,2.222833,515424
1980-05-02,7.411859,7.431891,7.331731,7.351763,2.204811,1254240
1980-05-05,7.351763,7.431891,7.331731,7.431891,2.228840,502320
1980-05-06,7.431891,7.512019,7.411859,7.431891,2.228840,1436448
1980-05-07,7.431891,7.672276,7.411859,7.612179,2.282909,1347216
1980-05-08,7.612179,7.632212,7.532051,7.552083,2.264886,534768
1980-05-09,7.552083,7.552083,7.451923,7.512019,2.252871,541008
1980-05-12,7.512019,7.532051,7.371795,7.491987,2.246863,573456
1980-05-13,7.491987,7.532051,7.411859,7.491987,2.246863,1063920
1980-05-14,7.491987,7.632212,7.451923,7.471955,2.240855,1301040
1980-05-15,7.471955,7.612179,7.451923,7.572115,2.270893,596544
1980-05-16,7.572115,7.592147,7.532051,7.532051,2.258878,428688
1980-05-19,7.532051,7.592147,7.491987,7.592147,2.276901,505440
1980-05-20,7.592147,7.612179,7.552083,7.592147,2.276901,763776
1980-05-21,7.592147,7.632212,7.512019,7.632212,2.288917,672048
1980-05-22,7.632212,7.812500,7.632212,7.752404,2.324963,692640
1980-05-23,7.792468,7.952724,7.792468,7.952724,2.385039,2474160
1980-05-27,7.972756,8.052885,7.972756,7.992788,2.397053,1327872
1980-05-28,7.992788,8.052885,7.952724,7.972756,2.391046,1229280
1980-05-29,7.972756,8.012821,7.912660,7.912660,2.373025,570336
1980-05-30,7.912660,7.952724,7.672276,7.932692,2.415725,1642368
1980-06-02,7.932692,7.932692,7.151442,7.812500,2.379123,1370304
1980-06-03,7.812500,7.872596,7.772436,7.812500,2.379123,564720
1980-06-04,7.812500,7.952724,7.792468,7.952724,2.421826,906048
1980-06-05,7.992788,8.133013,7.992788,8.072917,2.458427,1589952
1980-06-06,8.072917,8.153045,8.032853,8.112981,2.470630,854256
1980-06-09,8.112981,8.153045,7.952724,8.012821,2.440127,907296
1980-06-10,8.012821,8.052885,7.972756,8.032853,2.446227,914784
1980-06-11,8.032853,8.092949,8.012821,8.052885,2.452327,992784
1980-06-12,8.052885,8.092949,7.952724,8.012821,2.440127,859872
1980-06-13,8.012821,8.032853,7.932692,7.972756,2.427927,1159392
1980-06-16,7.972756,8.052885,7.972756,8.012821,2.440127,1541280
1980-06-17,8.012821,8.153045,8.012821,8.153045,2.482829,1392768
1980-06-18,8.133013,8.133013,8.072917,8.092949,2.464530,1444560
1980-06-19,8.092949,8.133013,7.972756,7.972756,2.427927,2036736
1980-06-20,7.972756,8.052885,7.932692,8.032853,2.446227,1623024
1980-06-23,8.032853,8.092949,8.032853,8.092949,2.464530,1394640
1980-06-24,8.092949,8.213141,8.012821,8.173077,2.488931,1338480
1980-06-25,8.213141,8.333333,8.213141,8.293269,2.525532,1239888
1980-06-26,8.293269,8.333333,8.253205,8.253205,2.513331,783120
1980-06-27,8.253205,8.333333,8.193109,8.293269,2.525532,769392
1980-06-30,8.273237,8.273237,8.213141,8.253205,2.513331,520416
1980-07-01,8.253205,8.333333,8.193109,8.333333,2.537731,877968
1980-07-02,8.333333,8.553686,8.313301,8.533654,2.598735,1309776
1980-07-03,8.533654,8.573718,8.533654,8.553686,2.604837,1894464
1980-07-07,8.553686,8.553686,8.453526,8.533654,2.598735,996528
1980-07-08,8.533654,8.613782,8.493590,8.593750,2.617036,907920
1980-07-09,8.593750,8.673878,8.533654,8.553686,2.604837,753168
1980-07-10,8.533654,8.533654,8.453526,8.453526,2.574334,693888
1980-07-11,8.453526,8.653846,8.433494,8.613782,2.623137,651456
1980-07-14,8.613782,8.794071,8.593750,8.794071,2.678041,784368
1980-07-15,8.794071,8.954327,8.733974,8.733974,2.659739,1234272
1980-07-16,8.733974,8.814103,8.733974,8.733974,2.659739,854880
1980-07-17,8.733974,8.854167,8.733974,8.834135,2.690239,1157520
1980-07-18,8.834135,8.894231,8.553686,8.874199,2.702441,906048
1980-07-21,8.874199,8.894231,8.814103,8.854167,2.696340,609648
1980-07-22,8.854167,8.914263,8.754006,8.754006,2.665838,808080
1980-07-23,8.754006,8.814103,8.653846,8.713942,2.653639,1236144
1980-07-24,8.713942,8.733974,8.633814,8.633814,2.629236,881712
1980-07-25,8.633814,8.673878,8.613782,8.653846,2.635336,775008
1980-07-28,8.653846,8.693910,8.633814,8.693910,2.647539,612768
1980-07-29,8.713942,8.814103,8.713942,8.794071,2.678041,773136
1980-07-30,8.894231,8.974359,8.894231,8.974359,2.732941,913536
1980-07-31,8.974359,9.014423,8.834135,9.014423,2.745143,807456
1980-08-01,8.994391,8.994391,8.834135,8.974359,2.732941,946608
1980-08-04,8.974359,8.994391,8.914263,8.974359,2.732941,573456
1980-08-05,8.974359,9.074519,8.954327,9.014423,2.745143,834288
1980-08-06,8.974359,8.974359,8.814103,8.894231,2.708540,2799888
1980-08-07,8.894231,8.974359,8.894231,8.934295,2.720741,1104480
1980-08-08,8.974359,9.094551,8.974359,9.034455,2.751244,1641744
1980-08-11,9.034455,9.174679,9.034455,9.174679,2.793945,1069536
1980-08-12,9.174679,9.314904,9.174679,9.174679,2.793945,1609296
1980-08-13,9.174679,9.214744,9.094551,9.094551,2.769543,2486640
1980-08-14,9.094551,9.294872,9.054487,9.294872,2.830545,1398384
1980-08-15,9.294872,9.314904,9.214744,9.234776,2.812246,783120
1980-08-18,9.194712,9.194712,9.054487,9.074519,2.763445,955344
1980-08-19,9.074519,9.094551,8.974359,8.974359,2.732941,1455168
