Date,Open,High,Low,Close,Adj Close,Volume
1980-01-09,1.687500,1.700521,1.656250,1.661458,0.618897,4790400
1980-01-10,1.661458,1.679688,1.656250,1.658854,0.617928,3662400
1980-01-11,1.658854,1.666667,1.643229,1.648438,0.614047,2212800
1980-01-14,1.648438,1.656250,1.627604,1.627604,0.606286,1723200
1980-01-15,1.627604,1.638021,1.619792,1.630208,0.607256,1800000
1980-01-16,1.630208,1.648438,1.619792,1.619792,0.603377,2241600
1980-01-17,1.619792,1.625000,1.598958,1.598958,0.595616,3072000
1980-01-18,1.598958,1.614583,1.588542,1.588542,0.591736,3561600
1980-01-21,1.588542,1.614583,1.585938,1.609375,0.599496,2011200
1980-01-22,1.609375,1.622396,1.598958,1.598958,0.595616,2851200
1980-01-23,1.598958,1.614583,1.591146,1.609375,0.599496,3403200
1980-01-24,1.609375,1.625000,1.593750,1.598958,0.595616,2956800
1980-01-25,1.588542,1.588542,1.562500,1.583333,0.589795,3057600
1980-01-28,1.588542,1.604167,1.588542,1.604167,0.597556,2275200
1980-01-29,1.604167,1.606771,1.578125,1.583333,0.589795,1804800
1980-01-30,1.583333,1.583333,1.567708,1.570313,0.584945,3849600
1980-01-31,1.570313,1.591146,1.570313,1.570313,0.584945,3758400
1980-02-01,1.562500,1.562500,1.552083,1.562500,0.582035,3777600
1980-02-04,1.562500,1.578125,1.559896,1.570313,0.584945,2265600
1980-02-05,1.570313,1.578125,1.562500,1.578125,0.587855,2457600
1980-02-06,1.578125,1.588542,1.565104,1.572917,0.585916,2059200
1980-02-07,1.572917,1.588542,1.565104,1.567708,0.583975,3139200
1980-02-08,1.567708,1.572917,1.554688,1.570313,0.584945,2683200
1980-02-11,1.570313,1.572917,1.554688,1.559896,0.581065,3998400
1980-02-12,1.546875,1.546875,1.528646,1.536458,0.572334,2846400
1980-02-13,1.541667,1.557292,1.541667,1.546875,0.576215,4075200
1980-02-14,1.546875,1.557292,1.531250,1.533854,0.571364,2760000
1980-02-15,1.528646,1.528646,1.505208,1.510417,0.566481,2793600
1980-02-19,1.507813,1.507813,1.500000,1.507813,0.565505,1324800
1980-02-20,1.507813,1.515625,1.497396,1.505208,0.564528,1790400
1980-02-21,1.500000,1.500000,1.458333,1.466146,0.549877,2942400
1980-02-22,1.466146,1.471354,1.460938,1.468750,0.550854,4488000
1980-02-25,1.468750,1.471354,1.458333,1.458333,0.546947,6244800
1980-02-26,1.458333,1.463542,1.447917,1.453125,0.544994,4353600
1980-02-27,1.453125,1.458333,1.450521,1.453125,0.544994,2208000
1980-02-28,1.453125,1.453125,1.442708,1.442708,0.541087,3595200
1980-02-29,1.442708,1.450521,1.427083,1.429688,0.536204,4747200
1980-03-03,1.429688,1.442708,1.429688,1.429688,0.536204,2284800
1980-03-04,1.429688,1.437500,1.427083,1.437500,0.539134,4588800
1980-03-05,1.434896,1.434896,1.406250,1.411458,0.529367,2280000
1980-03-06,1.411458,1.421875,1.403646,1.414063,0.530344,2323200
1980-03-07,1.416667,1.440104,1.416667,1.421875,0.533274,3278400
1980-03-10,1.421875,1.437500,1.419271,1.421875,0.533274,3033600
1980-03-11,1.432292,1.453125,1.432292,1.453125,0.544994,2222400
1980-03-12,1.453125,1.453125,1.416667,1.424479,0.534250,3513600
1980-03-13,1.424479,1.424479,1.390625,1.390625,0.521554,2553600
1980-03-14,1.390625,1.401042,1.380208,1.393229,0.522530,2448000
1980-03-17,1.393229,1.395833,1.375000,1.385417,0.519600,1915200
1980-03-18,1.385417,1.416667,1.385417,1.408854,0.528390,2481600
1980-03-19,1.411458,1.424479,1.411458,1.419271,0.532297,1824000
1980-03-20,1.421875,1.429688,1.421875,1.427083,0.535227,1516800
1980-03-21,1.427083,1.432292,1.419271,1.424479,0.534250,1742400
1980-03-24,1.424479,1.424479,1.393229,1.393229,0.522530,2990400
1980-03-25,1.393229,1.393229,1.380208,1.390625,0.521554,2414400
1980-03-26,1.395833,1.416667,1.395833,1.406250,0.527414,3100800
1980-03-27,1.406250,1.414063,1.388021,1.411458,0.529367,1737600
1980-03-28,1.424479,1.440104,1.424479,1.437500,0.539134,6216000
1980-03-31,1.437500,1.481771,1.437500,1.479167,0.554761,5251200
1980-04-01,1.479167,1.489583,1.476563,1.486979,0.557691,2313600
1980-04-02,1.497396,1.497396,1.481771,1.481771,0.555738,4660800
1980-04-03,1.492188,1.505208,1.492188,1.500000,0.562574,4108800
1980-04-07,1.500000,1.500000,1.468750,1.468750,0.550854,3206400
1980-04-08,1.468750,1.486979,1.460938,1.481771,0.555738,2884800
1980-04-09,1.481771,1.489583,1.476563,1.489583,0.558667,1233600
1980-04-10,1.489583,1.494792,1.489583,1.489583,0.558667,1368000
1980-04-11,1.489583,1.489583,1.476563,1.479167,0.554761,3571200
1980-04-14,1.473958,1.473958,1.458333,1.460938,0.547924,1329600
1980-04-15,1.460938,1.484375,1.460938,1.484375,0.556714,2678400
1980-04-16,1.486979,1.505208,1.486979,1.492188,0.559645,3336000
1980-04-17,1.492188,1.497396,1.481771,1.489583,0.558667,2438400
1980-04-18,1.489583,1.494792,1.481771,1.486979,0.557691,1281600
1980-04-21,1.486979,1.489583,1.481771,1.484375,0.556714,1185600
1980-04-22,1.497396,1.515625,1.497396,1.505208,0.564528,3600000
1980-04-23,1.505208,1.507813,1.497396,1.500000,0.562574,1670400
1980-04-24,1.500000,1.546875,1.494792,1.541667,0.578202,2620800
1980-04-25,1.541667,1.572917,1.518229,1.567708,0.587968,2856000
1980-04-28,1.572917,1.593750,1.572917,1.572917,0.589922,2740800
1980-04-29,1.572917,1.583333,1.565104,1.580729,0.592852,1315200
1980-04-30,1.580729,1.580729,1.562500,1.580729,0.592852,2476800
1980-05-01,1.580729,1.588542,1.565104,1.575521,0.590899,3153600
